I
1200 Version - data cycle 2609, build 20260904, metadata NavXP1200. OpenAIRAC 1.0.0
 3 44.088852778 -112.209344444  4920 11690 130  15.000 DBS  ENRT  K1 NARDUBOIS VORTAC
 3 38.859452778 -77.036436111    10 11100  40  -9.000 DCA  ENRT  K6 NARWASHINGTON VOR-DME
 3 37.850561111 -100.005636111  2566 10820  40   8.000 DDC  ENRT  K3 NARDODGE CITY VORTAC
 3 43.090855556 -106.277025000  5863 11620 130  12.000 DDY  ENRT  K1 NARMUDDY MOUNTAIN VOR-DME
 3 28.214155556 -105.448566667  3888 11350 130   9.000 DEL  ENRT  MM NARDELICIAS VOR-DME
 3 39.812513889 -104.660738889  5452 11790 130   8.000 DEN  ENRT  K2 NARDENVER VOR-DME
 3 37.023469444 -92.876922222  1600 10940  40   1.000 DGD  ENRT  K3 NARDOGWOOD VORTAC
 3 25.799963889 -80.349036111     6 11390 130  -4.000 DHP  ENRT  K7 NARDOLPHIN VORTAC
 3 36.091455556 -102.544641667  4020 11200  40  12.000 DHT  ENRT  K4 NARDALHART VORTAC
 3 46.860038889 -102.773500000  2527 11290 130  14.000 DIK  ENRT  K3 NARDICKINSON VORTAC
 3 41.358063889 -82.161969444   780 11360 130  -5.000 DJB  ENRT  K5 NARDRYER VOR-DME
 3 29.360891667 -100.771725000  1071 11440 130   7.000 DLF  ENRT  K4 NARLAUGHLIN VORTAC
 3 58.994233333 -158.552219444    81 11640 130  15.000 DLG  ENRT  PA NARDILLINGHAM VOR-DME
 3 46.802163889 -92.202869444  1428 11260 130   5.000 DLH  ENRT  K3 NARDULUTH VORTAC
 3 43.550836111 -89.763622222  1023 11700 130   3.000 DLL  ENRT  K5 NARDELLS VORTAC
 3 45.248575000 -112.547130556  5257 11300 130  18.000 DLN  ENRT  K1 NARDILLON VOR-DME
 3 32.275552778 -107.605502778  4210 10860  40  12.000 DMN  ENRT  K2 NARDEMING VORTAC
 3 44.767113889 -116.206266667  7332 11620 130  19.000 DNJ  ENRT  K1 NARDONNELLY VOR-DME
 3 43.828277778 -110.335475000  7730 11720 130  15.000 DNW  ENRT  K1 NARDUNOIR VOR-DME
 3 42.178280556 -74.956941667  2560 11210  40 -11.000 DNY  ENRT  K6 NARDELANCEY VOR-DME
 3 41.890372222 -88.350177778   802 11455  40   2.000 DPA  ENRT  K5 NARDUPAGE VOR-DME
 3 40.791766667 -73.303677778   117 11770  40 -12.000 DPK  ENRT  K6 NARDEER PARK VOR-DME
 3 45.078175000 -101.715072222  2501 11680 130  10.000 DPR  ENRT  K3 NARDUPREE VOR-DME
 3 40.016444444 -84.396897222   989 11450  40  -1.000 DQN  ENRT  K5 NARDAYTON VOR-DME
 3 39.678141667 -75.607086111    70 11400  40 -10.000 DQO  ENRT  K6 NARDUPONT VORTAC
 3 34.702552778 -112.480341667  4966 11410 130  14.000 DRK  ENRT  K2 NARDRAKE VORTAC
 3 37.153261111 -107.749625000  6662 11655  40  14.000 DRO  ENRT  K2 NARDURANGO VOR-DME
 3 44.252761111 -121.303552778  4103 11760 130  18.000 DSD  ENRT  K1 NARDESCHUTES VORTAC
 3 41.437625000 -93.648558333   951 11750 130   7.000 DSM  ENRT  K3 NARDES MOINES VORTAC
 3 39.302261111 -112.505558333  4604 11610 130  16.000 DTA  ENRT  K2 NARDELTA VORTAC
 3 46.825525000 -95.887322222  1385 11120  25   2.000 DTL  ENRT  K3 NARDETROIT LAKES VOR-DME
 3 31.472675000 -109.602052778  4131 10880  40  13.000 DUG  ENRT  K2 NARDOUGLAS VORTAC
 3 37.808738889 -108.931275000  6990 11460 130  14.000 DVC  ENRT  K2 NARDOVE CREEK VORTAC
 3 39.894688889 -104.624336111  5279 11470 130   8.000 DVV  ENRT  K2 NARMILE HIGH VORTAC
 3 42.213136111 -83.366663889   636 11340 130  -6.000 DXO  ENRT  K5 NARDETROIT VOR-DME
 3 47.399691667 -120.210827778  1222 11435  40  15.000 EAT  ENRT  K1 NARWENATCHEE VOR-DME
 3 44.897669444 -91.478536111   904 11365  40   4.000 EAU  ENRT  K5 NAREAU CLAIRE VORTAC
 3 36.257572222 -76.175597222     7 11575  40  -7.000 ECG  ENRT  K7 NARELIZABETH CITY VOR-DME
 3 34.982363889 -117.732608333  2378 11640  25  12.000 EDW  ENRT  K2 NAREDWARDS VORTAC
 3 34.766005556 -114.474105556   620 11520 130  15.000 EED  ENRT  K2 NARNEEDLES VORTAC
 3 35.484555556 -119.097294444   549 11540 130  14.000 EHF  ENRT  K2 NARSHAFTER VORTAC
 3 37.787330556 -113.068230556  5464 11730 130  16.000 EHK  ENRT  K2 NARENOCH VOR-DME
 3 32.771363889 -93.809930556   190 11740 130   7.000 EIC  ENRT  K4 NARBELCHER VORTAC
